node,is_seed,first_seen_hop,first_seen_dir,n_upstream,n_upstream_mainland,n_downstream,n_downstream_mainland,mainland_in_ratio,mainland_out_ratio,bridge_score,category,sep_business_entity,sep_location,sep_employee,sep_customer,sep_material,sep_sales_org,catalog,schema,table_name
fdp_dev_itg_internal.itg_internal_korora.shipment_container_tracking_agg_fonterra,false,1,up,1,0,2,1,0.000,0.500,0.000,CO_MINGLED_DOWNSTREAM,0,0,0,0,0,0,fdp_dev_itg_internal,itg_internal_korora,shipment_container_tracking_agg_fonterra
fdp_dev_itg_internal.itg_internal_scv.indirect_sales,false,1,up,1,0,2,1,0.000,0.500,0.000,CO_MINGLED_DOWNSTREAM,0,0,0,0,1,1,fdp_dev_itg_internal,itg_internal_scv,indirect_sales
fdp_dev_itg_internal.itg_internal_scv.japan_customer_stock_sales,false,1,up,1,0,2,1,0.000,0.500,0.000,CO_MINGLED_DOWNSTREAM,0,0,0,0,1,1,fdp_dev_itg_internal,itg_internal_scv,japan_customer_stock_sales
fdp_dev_itg_internal.itg_internal_scv.switch_indirect,false,1,up,1,0,2,1,0.000,0.500,0.000,CO_MINGLED_DOWNSTREAM,0,0,0,0,1,1,fdp_dev_itg_internal,itg_internal_scv,switch_indirect
fdp_dev_itg_internal.itg_internal_scv.warehouse_replenishment,false,1,up,1,0,2,1,0.000,0.500,0.000,CO_MINGLED_DOWNSTREAM,0,0,0,0,1,1,fdp_dev_itg_internal,itg_internal_scv,warehouse_replenishment
fdp_dev_std_internal.std_internal_anzsap.master_data_material_unit_of_measure_hist,false,1,up,0,0,3,2,,0.667,0.000,CO_MINGLED_DOWNSTREAM,0,0,0,0,1,0,fdp_dev_std_internal,std_internal_anzsap,master_data_material_unit_of_measure_hist
fdp_dev_std_internal.std_internal_korora.kotahireferences,false,1,up,0,0,3,2,,0.667,0.000,CO_MINGLED_DOWNSTREAM,0,0,0,0,0,0,fdp_dev_std_internal,std_internal_korora,kotahireferences
fdp_dev_std_internal.std_internal_korora.kotahireferences_bol,false,1,up,0,0,4,3,,0.750,0.000,CO_MINGLED_DOWNSTREAM,0,0,0,0,0,0,fdp_dev_std_internal,std_internal_korora,kotahireferences_bol
fdp_dev_std_internal.std_internal_scv.scv_eventhub_bronzetable,false,1,up,0,0,3,2,,0.667,0.000,CO_MINGLED_DOWNSTREAM,0,0,0,0,0,0,fdp_dev_std_internal,std_internal_scv,scv_eventhub_bronzetable
fdp_dev_std_internal.std_internal_scv.scv_eventhub_bronzetable_20260407,false,1,up,1,0,3,2,0.000,0.667,0.000,CO_MINGLED_DOWNSTREAM,0,0,0,0,0,0,fdp_dev_std_internal,std_internal_scv,scv_eventhub_bronzetable_20260407
fdp_dev_std_internal.std_internal_scv.scv_eventhub_bronzetable_prd,false,1,up,1,0,5,4,0.000,0.800,0.000,CO_MINGLED_DOWNSTREAM,0,0,0,0,0,0,fdp_dev_std_internal,std_internal_scv,scv_eventhub_bronzetable_prd
fdp_dev_std_internal.std_internal_scv.scv_eventhub_bronzetable_updt_30032026,false,1,up,1,0,2,1,0.000,0.500,0.000,CO_MINGLED_DOWNSTREAM,0,0,0,0,0,0,fdp_dev_std_internal,std_internal_scv,scv_eventhub_bronzetable_updt_30032026
