src_cat,tgt_cat,distinct_edges,total_events
fdp_prd_std_internal,fdp_prd_std_internal,1344,784053
fdp_prd_std_internal,fdp_prd_itg_internal,338,164624
fdp_prd_itg_internal,fdp_prd_srv_internal,104,135077
fdp_prd_itg_restricted,fdp_prd_srv_restricted,34,109886
fdp_prd_std_internal,fdp_prd_srv_internal,83,71343
fdp_prd_itg_internal,fdp_prd_itg_internal,49,36392
fdp_prd_srv_restricted,fdp_prd_srv_restricted,4,28717
fdp_dev_std_internal,fdp_dev_std_internal,1114,13713
fdp_prd_std_confidential,fdp_prd_itg_restricted,69,12127
fdp_prd_itg_restricted,fdp_prd_srv_internal,4,9802
fdp_prd_srv_internal,fdp_prd_srv_internal,54,8842
fdp_prd_std_confidential,fdp_prd_std_confidential,36,7750
fdp_prd_std_confidential,fdp_prd_itg_internal,4,3987
fdp_prd_std_internal,fdp_prd_std_confidential,42,3720
fdp_prd_std_internal,fdp_prd_itg_restricted,52,3556
fdp_prd_itg_internal,fdp_prd_itg_restricted,39,3280
fdp_dev_std_internal,fdp_dev_itg_internal,132,2729
fdp_prd_itg_restricted,fdp_prd_itg_restricted,35,2149
fdp_prd_itg_internal,fdp_prd_std_confidential,18,1622
fdp_prd_itg_restricted,fdp_prd_itg_internal,8,1579
fdp_dev_itg_internal,fdp_dev_itg_internal,48,1450
fdp_dev_itg_internal,fdp_dev_itg_restricted,31,873
fdp_prd_std_confidential,fdp_prd_srv_restricted,8,809
fdp_prd_itg_restricted,adpcoe_dev_std_restricted,1,372
adpcoe_dev_std_restricted,adpcoe_dev_std_restricted,13,339
fdp_prd_itg_internal,fdp_prd_srv_restricted,25,322
fdp_dev_std_internal,fdp_dev_srv_internal,86,316
fdp_prd_srv_restricted,fdp_prd_srv_internal,1,257
fdp_dev_itg_internal,fdp_dev_srv_internal,25,229
fdp_dev_itg_restricted,fdp_dev_itg_restricted,10,181
soda_prd_itg_internal,soda_prd_itg_internal,1,180
fdp_prd_srv_internal,soda_prd_itg_internal,2,180
fdp_dev_itg_restricted,fdp_dev_itg_internal,7,180
fdp_prd_srv_internal,adpcoe_dev_std_restricted,12,180
fdp_dev_std_internal,fdp_dev_itg_restricted,8,164
fdp_prd_std_internal,fdp_prd_srv_restricted,12,130
fdp_prd_std_internal,fdp_dev_std_internal,9,109
fdp_dev_srv_internal,fdp_dev_srv_internal,49,104
fdp_prd_srv_internal,fdp_prd_std_internal,1,90
fdp_prd_std_confidential,fdp_prd_std_internal,1,90
fdp_prd_srv_internal,fdp_prd_itg_internal,1,73
fdp_prd_srv_restricted,fdp_prd_itg_internal,3,68
fdp_dev_itg_restricted,fdp_dev_srv_restricted,6,49
fdp_dev_itg_restricted,fdp_dev_srv_internal,6,40
fdp_prd_itg_internal,fdp_dev_itg_internal,12,17
fdp_prd_srv_internal,fdp_dev_std_internal,6,15
fdp_dev_srv_restricted,fdp_dev_srv_restricted,4,14
fdp_prd_srv_restricted,adpcoe_dev_std_restricted,1,14
fdp_dev_std_internal,fdp_dev_srv_restricted,1,4
fdp_dev_std_internal,fdp_tst_srv_internal,1,1
