src_full_name,tgt_full_name,edge_count,hop,direction
adpcoe_dev_std_restricted.srv_internal_source_to_pay_ai_poc.fact_pva,adpcoe_dev_std_restricted.srv_internal_source_to_pay_ai_poc.dim_pva_alerts,4,5,down
adpcoe_dev_std_restricted.srv_internal_source_to_pay_ai_poc.fact_pva,adpcoe_dev_std_restricted.srv_internal_source_to_pay_ai_poc.fact_pva_alerts,69,5,down
adpcoe_dev_std_restricted.srv_internal_source_to_pay_ai_poc.fact_pva,adpcoe_dev_std_restricted.srv_internal_source_to_pay_ai_poc.fact_pva_expanded,4,5,down
adpcoe_dev_std_restricted.srv_internal_source_to_pay_ai_poc.operating_services_invoices,adpcoe_dev_std_restricted.srv_internal_source_to_pay_ai_poc.cross_site_price_variance_analysis,3,4,down
adpcoe_dev_std_restricted.srv_internal_source_to_pay_ai_poc.operating_services_invoices,adpcoe_dev_std_restricted.srv_internal_source_to_pay_ai_poc.price_variability_alerts,12,4,down
adpcoe_dev_std_restricted.srv_internal_source_to_pay_ai_poc.operating_services_invoices,adpcoe_dev_std_restricted.srv_internal_source_to_pay_ai_poc.supplier_fragmentation_alerts,11,4,down
adpcoe_dev_std_restricted.srv_internal_source_to_pay_ai_poc.price_variability_alerts,adpcoe_dev_std_restricted.srv_internal_source_to_pay_ai_poc.dim_pva_alert_types,2,4,down
adpcoe_dev_std_restricted.srv_internal_source_to_pay_ai_poc.price_variability_alerts,adpcoe_dev_std_restricted.srv_internal_source_to_pay_ai_poc.dim_pva_supplier,15,4,down
adpcoe_dev_std_restricted.srv_internal_source_to_pay_ai_poc.price_variability_alerts,adpcoe_dev_std_restricted.srv_internal_source_to_pay_ai_poc.dim_supplier,10,4,down
adpcoe_dev_std_restricted.srv_internal_source_to_pay_ai_poc.price_variability_alerts,adpcoe_dev_std_restricted.srv_internal_source_to_pay_ai_poc.fact_pva,162,4,down
adpcoe_dev_std_restricted.std_restricted_source_to_pay_ai_poc.fact_supplier_invoice_ai_poc,adpcoe_dev_std_restricted.srv_internal_source_to_pay_ai_poc.operating_services_invoices,14,4,down
adpcoe_dev_std_restricted.std_restricted_source_to_pay_ai_poc.fact_supplier_invoice_ai_poc,adpcoe_dev_std_restricted.srv_internal_source_to_pay_ai_poc.price_variability_alerts,17,4,down
adpcoe_dev_std_restricted.std_restricted_source_to_pay_ai_poc.fact_supplier_invoice_ai_poc,adpcoe_dev_std_restricted.srv_internal_source_to_pay_ai_poc.supplier_fragmentation_alerts,16,4,down
fdp_dev_itg_internal.itg_internal_finance.dim_material_group,fdp_dev_itg_restricted.itg_restricted_source_to_pay.fact_corporate_expense_invoice,29,2,down
fdp_dev_itg_internal.itg_internal_finance.dim_material_group,fdp_dev_itg_restricted.itg_restricted_source_to_pay.fact_supplier_parked_invoice,29,2,down
fdp_dev_itg_internal.itg_internal_finance.dim_material_group,fdp_dev_itg_restricted.itg_restricted_source_to_pay.fact_vendor_transaction,29,2,down
fdp_dev_itg_internal.itg_internal_finance.dim_material_group,fdp_dev_srv_internal.srv_internal_finance.dim_material_group,2,2,down
fdp_dev_itg_internal.itg_internal_finance.dim_material_group,fdp_dev_srv_internal.srv_internal_source_to_pay.accounting_documents_ml_classification_incl_punaha,6,2,down
fdp_dev_itg_internal.itg_internal_finance.dim_material_group,fdp_dev_srv_internal.srv_internal_source_to_pay.vw_accounting_documents_ml_classification_incl_punaha,1,2,down
fdp_dev_itg_internal.itg_internal_finance.dim_org_sender_company_code,fdp_dev_srv_internal.srv_internal_finance.dim_org_sender_company_code,4,2,down
fdp_dev_itg_internal.itg_internal_finance.dim_plant,fdp_dev_itg_restricted.itg_restricted_source_to_pay.fact_corporate_expense_invoice,29,2,down
fdp_dev_itg_internal.itg_internal_finance.dim_plant,fdp_dev_itg_restricted.itg_restricted_source_to_pay.fact_supplier_parked_invoice,29,2,down
fdp_dev_itg_internal.itg_internal_finance.dim_plant,fdp_dev_itg_restricted.itg_restricted_source_to_pay.fact_vendor_transaction,29,2,down
fdp_dev_itg_internal.itg_internal_finance.dim_plant,fdp_dev_srv_internal.srv_internal_finance.dim_plant,4,2,down
fdp_dev_itg_internal.itg_internal_finance.dim_plant,fdp_dev_srv_internal.srv_internal_finance.dim_purchase_order_plant,4,2,down
fdp_dev_itg_internal.itg_internal_finance.dim_supplier,fdp_dev_itg_internal.itg_internal_finance.dim_supplier_bkp_23_feb,1,2,down
fdp_dev_itg_internal.itg_internal_finance.dim_supplier,fdp_dev_itg_restricted.itg_restricted_finance.fact_cost_centre_analytics,3,2,down
fdp_dev_itg_internal.itg_internal_finance.dim_supplier,fdp_dev_itg_restricted.itg_restricted_source_to_pay.fact_corporate_expense_invoice,29,2,down
fdp_dev_itg_internal.itg_internal_finance.dim_supplier,fdp_dev_itg_restricted.itg_restricted_source_to_pay.fact_supplier_parked_invoice,29,2,down
fdp_dev_itg_internal.itg_internal_finance.dim_supplier,fdp_dev_itg_restricted.itg_restricted_source_to_pay.fact_vendor_transaction,29,2,down
fdp_dev_itg_internal.itg_internal_finance.dim_supplier,fdp_dev_srv_internal.srv_internal_finance.dim_cfin_supplier,9,2,down
fdp_dev_itg_internal.itg_internal_finance.dim_supplier,fdp_dev_srv_internal.srv_internal_finance.dim_supplier,8,2,down
fdp_dev_itg_internal.itg_internal_finance.dim_supplier_company,fdp_dev_itg_restricted.itg_restricted_source_to_pay.fact_corporate_expense_invoice,29,2,down
fdp_dev_itg_internal.itg_internal_finance.dim_supplier_company,fdp_dev_itg_restricted.itg_restricted_source_to_pay.fact_supplier_parked_invoice,29,2,down
fdp_dev_itg_internal.itg_internal_finance.dim_supplier_company,fdp_dev_itg_restricted.itg_restricted_source_to_pay.fact_vendor_transaction,29,2,down
fdp_dev_itg_internal.itg_internal_finance.dim_supplier_company,fdp_dev_srv_internal.srv_internal_finance.dim_supplier_company,15,2,down
fdp_dev_itg_internal.itg_internal_finance.dim_unit_of_measure,fdp_dev_itg_restricted.itg_restricted_source_to_pay.fact_corporate_expense_invoice,29,2,down
fdp_dev_itg_internal.itg_internal_finance.dim_unit_of_measure,fdp_dev_itg_restricted.itg_restricted_source_to_pay.fact_supplier_parked_invoice,29,2,down
fdp_dev_itg_internal.itg_internal_finance.dim_unit_of_measure,fdp_dev_itg_restricted.itg_restricted_source_to_pay.fact_vendor_transaction,29,2,down
fdp_dev_itg_internal.itg_internal_finance.dim_unit_of_measure,fdp_dev_srv_internal.srv_internal_finance.dim_purchase_order_unit_of_measure,4,2,down
fdp_dev_itg_internal.itg_internal_finance.dim_unit_of_measure,fdp_dev_srv_internal.srv_internal_finance.dim_sender_unit_of_measure,4,2,down
fdp_dev_itg_internal.itg_internal_inventory.dim_product_version_000_mld,fdp_dev_srv_internal.srv_internal_inventory.dim_product_version_000_mld,6,1,down
fdp_dev_itg_internal.itg_internal_inventory.fact_consolidated_inventory_mld,fdp_dev_srv_internal.srv_internal_inventory.fact_consolidated_inventory_mld,32,1,down
fdp_dev_itg_internal.itg_internal_inventory.fact_snp_supply_plan_mld,fdp_dev_srv_internal.srv_internal_inventory.fact_snp_supply_plan_mld,9,1,down
fdp_dev_itg_internal.itg_internal_inventory.mld_livecache_td_version_000,fdp_dev_itg_internal.itg_internal_inventory.mld_snp_supply_plan,25,1,down
fdp_dev_itg_internal.itg_internal_inventory.mld_snp_supply_plan,fdp_dev_itg_internal.itg_internal_inventory.fact_snp_supply_plan_mld,13,2,down
fdp_dev_itg_internal.itg_internal_inventory.mld_snp_supply_plan,fdp_dev_itg_internal.itg_internal_inventory.fact_snp_supply_plan_mld,13,1,up
fdp_dev_itg_internal.itg_internal_korora.delivery_check_fonterra,fdp_dev_itg_internal.itg_internal_korora.shipment_container_tracking_summary_mainland,1,1,up
fdp_dev_itg_internal.itg_internal_korora.delivery_check_mainland,fdp_dev_itg_internal.itg_internal_korora.destination_confidence_mainland,76,1,down
fdp_dev_itg_internal.itg_internal_korora.delivery_check_mainland,fdp_dev_itg_internal.itg_internal_korora.destination_confidence_mainland,76,1,up
fdp_dev_itg_internal.itg_internal_korora.delivery_check_mainland,fdp_dev_itg_internal.itg_internal_korora.shipment_container_tracking_summary_fonterra,1,1,down
fdp_dev_itg_internal.itg_internal_korora.delivery_check_mainland,fdp_dev_itg_internal.itg_internal_korora.shipment_container_tracking_summary_mainland,91,1,down
fdp_dev_itg_internal.itg_internal_korora.delivery_check_mainland,fdp_dev_itg_internal.itg_internal_korora.shipment_container_tracking_summary_mainland,91,1,up
fdp_dev_itg_internal.itg_internal_korora.delivery_check_mainland,fdp_dev_srv_internal.srv_internal_korora.delivery_check_mainland,29,1,down
fdp_dev_itg_internal.itg_internal_korora.delivery_check_mainland,fdp_dev_srv_internal.srv_internal_korora.vw_delivery_check_mainland,9,1,down
fdp_dev_itg_internal.itg_internal_korora.destination_confidence_mainland,fdp_dev_itg_internal.itg_internal_korora.destination_confidence_mainland_23042026,1,1,down
fdp_dev_itg_internal.itg_internal_korora.destination_confidence_mainland,fdp_dev_itg_internal.itg_internal_korora.destination_confidence_mainland_23042026,1,1,up
fdp_dev_itg_internal.itg_internal_korora.destination_confidence_mainland,fdp_dev_itg_internal.itg_internal_korora.shipment_container_tracking_summary_fonterra,1,1,down
fdp_dev_itg_internal.itg_internal_korora.destination_confidence_mainland,fdp_dev_itg_internal.itg_internal_korora.shipment_container_tracking_summary_mainland,84,1,down
fdp_dev_itg_internal.itg_internal_korora.destination_confidence_mainland,fdp_dev_itg_internal.itg_internal_korora.shipment_container_tracking_summary_mainland,84,1,up
fdp_dev_itg_internal.itg_internal_korora.sales_order_detail_logistics,fdp_dev_itg_internal.itg_internal_korora.shipment_container_tracking_summary_mainland,12,1,up
fdp_dev_itg_internal.itg_internal_korora.scv_shipping_unit,fdp_dev_itg_internal.itg_internal_korora.shipment_container_tracking_summary_mainland,4,1,up
fdp_dev_itg_internal.itg_internal_korora.shipment_container_tracking_agg_fonterra,fdp_dev_itg_internal.itg_internal_korora.delivery_check_fonterra,80,2,up
fdp_dev_itg_internal.itg_internal_korora.shipment_container_tracking_agg_fonterra,fdp_dev_itg_internal.itg_internal_korora.shipment_container_tracking_summary_mainland,4,1,up
fdp_dev_itg_internal.itg_internal_korora.shipment_container_tracking_agg_mainland,fdp_dev_itg_internal.itg_internal_korora.delivery_check_mainland,81,1,down
fdp_dev_itg_internal.itg_internal_korora.shipment_container_tracking_agg_mainland,fdp_dev_itg_internal.itg_internal_korora.delivery_check_mainland,81,1,up
fdp_dev_itg_internal.itg_internal_korora.shipment_container_tracking_agg_mainland,fdp_dev_itg_internal.itg_internal_korora.destination_confidence_mainland,76,1,down
fdp_dev_itg_internal.itg_internal_korora.shipment_container_tracking_agg_mainland,fdp_dev_itg_internal.itg_internal_korora.destination_confidence_mainland,76,1,up
fdp_dev_itg_internal.itg_internal_korora.shipment_container_tracking_agg_mainland,fdp_dev_itg_internal.itg_internal_korora.shipment_container_tracking_agg_summary_mainland,3,1,down
fdp_dev_itg_internal.itg_internal_korora.shipment_container_tracking_agg_mainland,fdp_dev_itg_internal.itg_internal_korora.shipment_container_tracking_summary_fonterra,4,1,down
fdp_dev_itg_internal.itg_internal_korora.shipment_container_tracking_agg_mainland,fdp_dev_itg_internal.itg_internal_korora.shipment_container_tracking_summary_mainland,92,1,down
fdp_dev_itg_internal.itg_internal_korora.shipment_container_tracking_agg_mainland,fdp_dev_itg_internal.itg_internal_korora.shipment_container_tracking_summary_mainland,92,1,up
fdp_dev_itg_internal.itg_internal_korora.shipment_container_tracking_fonterra,fdp_dev_itg_internal.itg_internal_korora.shipment_container_tracking_agg_fonterra,87,2,up
fdp_dev_itg_internal.itg_internal_korora.shipment_container_tracking_mainland,fdp_dev_itg_internal.itg_internal_korora.shipment_container_tracking_agg_mainland,82,1,down
fdp_dev_itg_internal.itg_internal_korora.shipment_container_tracking_mainland,fdp_dev_itg_internal.itg_internal_korora.shipment_container_tracking_agg_mainland,82,1,up
fdp_dev_itg_internal.itg_internal_korora.shipment_container_tracking_summary_fonterra,fdp_dev_itg_internal.itg_internal_korora.shipment_container_tracking_summary_fonterra_bkp,1,2,down
fdp_dev_itg_internal.itg_internal_korora.shipment_container_tracking_summary_fonterra,fdp_dev_srv_internal.srv_internal_korora.shipment_container_tracking_summary_fonterra,35,2,down
fdp_dev_itg_internal.itg_internal_korora.shipment_container_tracking_summary_fonterra,fdp_dev_srv_internal.srv_internal_korora.vw_shipment_container_tracking_summary_fonterra,8,2,down
fdp_dev_itg_internal.itg_internal_korora.shipment_container_tracking_summary_fonterra_bkp,fdp_dev_itg_internal.itg_internal_korora.shipment_container_tracking_summary_mainland,1,3,down
fdp_dev_itg_internal.itg_internal_korora.shipment_container_tracking_summary_fonterra_bkp,fdp_dev_itg_internal.itg_internal_korora.shipment_container_tracking_summary_mainland,1,1,up
fdp_dev_itg_internal.itg_internal_korora.shipment_container_tracking_summary_mainland,fdp_dev_itg_internal.itg_internal_korora.shipment_container_tracking_summary_fonterra,1,1,down
fdp_dev_itg_internal.itg_internal_korora.shipment_container_tracking_summary_mainland,fdp_dev_srv_internal.srv_internal_korora.shipment_container_tracking_summary_mainland,15,1,down
fdp_dev_itg_internal.itg_internal_korora.shipment_container_tracking_summary_mainland,fdp_dev_srv_internal.srv_internal_korora.vw_shipment_container_tracking_summary_mainland,6,1,down
fdp_dev_itg_internal.itg_internal_scv.indirect_sales,fdp_dev_itg_internal.itg_internal_korora.scv_shipping_unit,1,2,up
fdp_dev_itg_internal.itg_internal_scv.indirect_sales,fdp_dev_itg_internal.itg_internal_korora.shipment_container_tracking_summary_mainland,4,1,up
fdp_dev_itg_internal.itg_internal_scv.indirect_sales_05052026,fdp_dev_itg_internal.itg_internal_korora.scv_shipping_unit,2,2,up
fdp_dev_itg_internal.itg_internal_scv.japan_customer_stock_sales,fdp_dev_itg_internal.itg_internal_korora.scv_shipping_unit,1,2,up
fdp_dev_itg_internal.itg_internal_scv.japan_customer_stock_sales,fdp_dev_itg_internal.itg_internal_korora.shipment_container_tracking_summary_mainland,4,1,up
fdp_dev_itg_internal.itg_internal_scv.japan_customer_stock_sales_05052026,fdp_dev_itg_internal.itg_internal_korora.scv_shipping_unit,2,2,up
