full_name,primary_channel,primary_match_reason,primary_confidence,all_channels,channel_count
fdp_dev_itg_internal.itg_internal_korora.delivery_check_mainland,A,korora_mainland_pair,HIGH,"A,B",2
fdp_dev_itg_internal.itg_internal_korora.destination_confidence_mainland,A,korora_mainland_pair,HIGH,"A,B",2
fdp_dev_itg_internal.itg_internal_korora.destination_confidence_mainland_23042026,A,korora_mainland_pair,HIGH,"A,B",2
fdp_dev_itg_internal.itg_internal_korora.shipment_container_tracking_agg_mainland,A,korora_mainland_pair,HIGH,"A,B",2
fdp_dev_itg_internal.itg_internal_korora.shipment_container_tracking_equipment_mainland,A,korora_mainland_pair,HIGH,"A,B",2
fdp_dev_itg_internal.itg_internal_korora.shipment_container_tracking_mainland,A,korora_mainland_pair,HIGH,"A,B",2
fdp_dev_itg_internal.itg_internal_korora.shipment_container_tracking_summary_mainland,A,korora_mainland_pair,HIGH,"A,B",2
fdp_dev_std_internal.std_internal_mainland.dim_nz_basket_market,A,whole_schema_mainland,HIGH,A,1
fdp_dev_std_internal.std_internal_mainland.dim_nz_basket_market_hist,A,whole_schema_mainland,HIGH,A,1
fdp_dev_std_internal.std_internal_mainland.dim_nz_basket_period,A,whole_schema_mainland,HIGH,A,1
fdp_dev_std_internal.std_internal_mainland.dim_nz_basket_period_hist,A,whole_schema_mainland,HIGH,A,1
fdp_dev_std_internal.std_internal_mainland.dim_nz_basket_product,A,whole_schema_mainland,HIGH,A,1
fdp_dev_std_internal.std_internal_mainland.dim_nz_basket_product_hist,A,whole_schema_mainland,HIGH,A,1
fdp_dev_std_internal.std_internal_mainland.dim_nz_beverages_market,A,whole_schema_mainland,HIGH,A,1
fdp_dev_std_internal.std_internal_mainland.dim_nz_beverages_market_hist,A,whole_schema_mainland,HIGH,A,1
fdp_dev_std_internal.std_internal_mainland.dim_nz_beverages_period,A,whole_schema_mainland,HIGH,A,1
fdp_dev_std_internal.std_internal_mainland.dim_nz_beverages_period_hist,A,whole_schema_mainland,HIGH,A,1
fdp_dev_std_internal.std_internal_mainland.dim_nz_beverages_product,A,whole_schema_mainland,HIGH,A,1
fdp_dev_std_internal.std_internal_mainland.dim_nz_beverages_product_hist,A,whole_schema_mainland,HIGH,A,1
fdp_dev_std_internal.std_internal_mainland.fact_nz_basket_aggregated,A,whole_schema_mainland,HIGH,A,1
fdp_dev_std_internal.std_internal_mainland.fact_nz_beverages_aggregated,A,whole_schema_mainland,HIGH,A,1
fdp_dev_std_internal.std_internal_mainland.vw_nileseniq_promochart,A,whole_schema_mainland,HIGH,A,1
fdp_prd_itg_internal.itg_internal_korora.delivery_check_mainland,A,korora_mainland_pair,HIGH,"A,B",2
fdp_prd_itg_internal.itg_internal_korora.destination_confidence_mainland,A,korora_mainland_pair,HIGH,"A,B",2
fdp_prd_itg_internal.itg_internal_korora.shipment_container_tracking_agg_mainland,A,korora_mainland_pair,HIGH,"A,B",2
fdp_prd_itg_internal.itg_internal_korora.shipment_container_tracking_mainland,A,korora_mainland_pair,HIGH,"A,B",2
fdp_prd_itg_internal.itg_internal_korora.shipment_container_tracking_summary_mainland,A,korora_mainland_pair,HIGH,"A,B",2
fdp_prd_itg_restricted.itg_restricted_finance.vw_cfin_budget_forecast_datahub_elim__zcf_elim_ipr_a47_mainland,A,restricted_mainland_view,HIGH,"A,B",2
fdp_prd_itg_restricted.itg_restricted_finance.vw_cfin_mom_reporting_gm_split_and_cogs_decomp_datahub__zcf_elim_ipr_a45_mainland,A,restricted_mainland_view,HIGH,"A,B",2
fdp_prd_itg_restricted.itg_restricted_finance.vw_cfin_mom_reporting_revaluation_datahub__zcf_elim_ipr_a49_mainland,A,restricted_mainland_view,HIGH,"A,B",2
fdp_prd_itg_restricted.itg_restricted_finance.vw_consolidated_profit_and_loss_actual_mainland,A,restricted_mainland_view,HIGH,"A,B",2
fdp_prd_itg_restricted.itg_restricted_finance.vw_consolidated_profit_and_loss_actual_plan_agg_acc_cc_mainland,A,restricted_mainland_view,HIGH,"A,B",2
fdp_prd_itg_restricted.itg_restricted_finance.vw_consolidated_profit_and_loss_actual_plan_agg_channel_mainland,A,restricted_mainland_view,HIGH,"A,B",2
fdp_prd_itg_restricted.itg_restricted_finance.vw_consolidated_profit_and_loss_actual_plan_agg_cust_mainland,A,restricted_mainland_view,HIGH,"A,B",2
fdp_prd_itg_restricted.itg_restricted_finance.vw_consolidated_profit_and_loss_actual_plan_agg_mat_mainland,A,restricted_mainland_view,HIGH,"A,B",2
fdp_prd_itg_restricted.itg_restricted_finance.vw_consolidated_profit_and_loss_actual_plan_agg_perf_mainland,A,restricted_mainland_view,HIGH,"A,B",2
fdp_prd_itg_restricted.itg_restricted_finance.vw_consolidated_profit_and_loss_actual_plan_agg_profit_loss_mainland,A,restricted_mainland_view,HIGH,"A,B",2
fdp_prd_itg_restricted.itg_restricted_finance.vw_consolidated_profit_and_loss_actual_plan_agg_seg_mainland,A,restricted_mainland_view,HIGH,"A,B",2
fdp_prd_itg_restricted.itg_restricted_finance.vw_consolidated_profit_and_loss_actual_plan_agg_trans_mainland,A,restricted_mainland_view,HIGH,"A,B",2
fdp_prd_itg_restricted.itg_restricted_finance.vw_consolidated_profit_and_loss_actual_plan_mainland,A,restricted_mainland_view,HIGH,"A,B",2
fdp_prd_itg_restricted.itg_restricted_finance.vw_consolidated_profit_and_loss_plan_mainland,A,restricted_mainland_view,HIGH,"A,B",2
fdp_prd_itg_restricted.itg_restricted_finance.vw_performance_reporting__datahub_elim_ipr_a44_mainland,A,restricted_mainland_view,HIGH,"A,B",2
fdp_prd_itg_restricted.itg_restricted_finance.vw_unconsolidated_profit_and_loss_actual_mainland,A,restricted_mainland_view,HIGH,"A,B",2
fdp_prd_itg_restricted.itg_restricted_finance.vw_unconsolidated_profit_and_loss_actual_plan_agg_acc_cc_mainland,A,restricted_mainland_view,HIGH,"A,B",2
fdp_prd_itg_restricted.itg_restricted_finance.vw_unconsolidated_profit_and_loss_actual_plan_agg_collapsed_mainland,A,restricted_mainland_view,HIGH,"A,B",2
fdp_prd_itg_restricted.itg_restricted_finance.vw_unconsolidated_profit_and_loss_actual_plan_agg_cust_mainland,A,restricted_mainland_view,HIGH,"A,B",2
fdp_prd_itg_restricted.itg_restricted_finance.vw_unconsolidated_profit_and_loss_actual_plan_agg_mat_cust_mainland,A,restricted_mainland_view,HIGH,"A,B",2
fdp_prd_itg_restricted.itg_restricted_finance.vw_unconsolidated_profit_and_loss_actual_plan_agg_mat_mainland,A,restricted_mainland_view,HIGH,"A,B",2
fdp_prd_itg_restricted.itg_restricted_finance.vw_unconsolidated_profit_and_loss_actual_plan_agg_perf_mainland,A,restricted_mainland_view,HIGH,"A,B",2
